name,id,align,eye,hair,sex,gsm,alive,apperances,first,year,publisher
Arthur Winslow (Earth-616),,,,,Male Characters,,Living Characters,4,Mar-76,1976,Marvel
Bambi (Earth-616),No Dual Identity,Neutral Characters,,,Female Characters,,Living Characters,4,Jan-76,1976,Marvel
Basilisk (Demon) (Earth-616),,Bad Characters,Red Eyes,,Male Characters,,Living Characters,4,Jun-76,1976,Marvel
Brother Inquisitor (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,4,Sep-76,1976,Marvel
Bun-Dall (Earth-616),No Dual Identity,Neutral Characters,,Bald,Male Characters,,Living Characters,4,Jul-76,1976,Marvel
Burning Snake (Earth-616),,,,,,,Living Characters,4,May-76,1976,Marvel
Dale West (Earth-616),No Dual Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,4,Feb-76,1976,Marvel
Filippo Ayala (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Deceased Characters,4,Aug-76,1976,Marvel
Fred Hovel (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-76,1976,Marvel
Geoffrey Ballard (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Aug-76,1976,Marvel
Gingerbread Man (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,4,Nov-76,1976,Marvel
Goat-Child (Earth-616),,,,,,,Living Characters,4,May-76,1976,Marvel
Herbert Bell (Earth-616),No Dual Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,4,Feb-76,1976,Marvel
Herbert Griswold (Earth-616),,Bad Characters,,White Hair,,,Living Characters,4,Aug-76,1976,Marvel
Hesperus Chadwick (Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Mar-76,1976,Marvel
Jacob Pollock (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,4,Sep-76,1976,Marvel
Joon Moon Yuc (Earth-616),No Dual Identity,,,Black Hair,Male Characters,,Living Characters,4,Nov-76,1976,Marvel
Lancelot (Iron Fist Ally) (Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,4,Feb-76,1976,Marvel
Mason Harding (Earth-616),No Dual Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,4,Jun-76,1976,Marvel
Matilda von Tromp (Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,4,Jan-76,1976,Marvel
Morton Kribbee (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,4,Jan-76,1976,Marvel
Nestor Ayala (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Deceased Characters,4,Mar-76,1976,Marvel
Olivier Bedwette (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-76,1976,Marvel
Ren\u00e9 Duquesne (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,4,Jul-76,1976,Marvel
Sandy York (Earth-616),No Dual Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,4,Oct-76,1976,Marvel
Scrounger (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,4,Jul-76,1976,Marvel
Slitherogue (Earth-616),,Bad Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,4,Mar-76,1976,Marvel
Tandy Snow (Earth-616),,Good Characters,,Black Hair,Female Characters,,Living Characters,4,Feb-76,1976,Marvel
Victor Cochran (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,4,Jul-76,1976,Marvel
Vira (Tode) (Earth-616),No Dual Identity,,,,Female Characters,,Living Characters,4,Jul-76,1976,Marvel
Abel Stack (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,4,Jul-77,1977,Marvel
Burgundy (Power Man Ally) (Earth-616),,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,4,May-77,1977,Marvel
Capricorn (LMD) (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,4,Aug-77,1977,Marvel
Charles Delazny Sr. (Earth-616),,,,Black Hair,Male Characters,,Living Characters,4,Feb-77,1977,Marvel
Fee-Lon (Earth-616),Public Identity,,,Brown Hair,Male Characters,,Living Characters,4,Mar-77,1977,Marvel
Jakarra (Earth-616),Secret Identity,,Red Eyes,Bald,Male Characters,,Living Characters,4,Nov-77,1977,Marvel
Judy Parks (Earth-616),,,,,Female Characters,,Living Characters,4,Apr-77,1977,Marvel
Kur (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,4,Feb-77,1977,Marvel
Lynn Anderson (Earth-616),,,,,Female Characters,,Living Characters,4,May-77,1977,Marvel
Pisces (Female LMD) (Earth-616),,,,Blond Hair,Female Characters,,Living Characters,4,Aug-77,1977,Marvel
Pisces (LMD) (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,4,Aug-77,1977,Marvel
Zarin (Eternal) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,,Male Characters,,Living Characters,4,May-77,1977,Marvel
Zirksu (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,4,Apr-77,1977,Marvel
Con Ticci Viracocha (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,4,Sep-78,1978,Marvel
Eugene Everett (Earth-616),,,,Black Hair,Male Characters,,Living Characters,4,Mar-78,1978,Marvel
Factor-X (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,4,Jul-78,1978,Marvel
Jason Beere (Earth-616),,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,4,Mar-78,1978,Marvel
Joshua Itobo (Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-78,1978,Marvel
Khanata (Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Mar-78,1978,Marvel
Kogar (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Jul-78,1978,Marvel
Krollar (Earth-616),,Bad Characters,,No Hair,Male Characters,,Deceased Characters,4,Jul-78,1978,Marvel
Lord Gaea (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,4,Nov-78,1978,Marvel
Miles Brickman (Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,4,Oct-78,1978,Marvel
Phillip Garcia (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Aug-78,1978,Marvel
Rhiahn (Earth-616),,Bad Characters,One Eye,,Male Characters,,Deceased Characters,4,Jul-78,1978,Marvel
Tabur (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,4,Jun-78,1978,Marvel
Alfeo Spinosa (Earth-616),,Good Characters,,Black Hair,Male Characters,,Living Characters,4,Dec-79,1979,Marvel
Eyekillers (Earth-616),Secret Identity,Bad Characters,,,,,Living Characters,4,Dec-79,1979,Marvel
Odysseus (Earth-616),,Neutral Characters,,Brown Hair,Male Characters,,Deceased Characters,4,Nov-79,1979,Marvel
Pamela Quinn (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,4,Oct-79,1979,Marvel
Patroclus (Earth-616),Public Identity,,,Blond Hair,Male Characters,,Living Characters,4,Nov-79,1979,Marvel
Tisha Scarabeus (Earth-616),Public Identity,,,,Female Characters,,Living Characters,4,Jun-79,1979,Marvel
Vassily Khandruvitch (Earth-616),No Dual Identity,,,Grey Hair,Male Characters,,Living Characters,4,Oct-79,1979,Marvel
Watoomb (Earth-616),,Neutral Characters,,No Hair,Male Characters,,Living Characters,4,Apr-79,1979,Marvel
"William Evans, Jr. (Earth-616)",Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,4,Feb-79,1979,Marvel
Azaziah (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,4,Apr-80,1980,Marvel
Dominic Tyrone (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,4,Aug-80,1980,Marvel
Fasolt (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Apr-80,1980,Marvel
Hestia (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,4,Nov-80,1980,Marvel
Itzamna (Earth-616),,,,,,,Living Characters,4,Oct-80,1980,Marvel
Jack Wordman (Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,4,Oct-80,1980,Marvel
Lorenzo Jacobi (Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,4,Feb-80,1980,Marvel
Morgan Hardy (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,4,Dec-80,1980,Marvel
Narda Ravanna (Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,4,Jun-80,1980,Marvel
Shialmar (Earth-616),,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,4,Oct-80,1980,Marvel
Solace (Earth-616),,Neutral Characters,,,Male Characters,,Living Characters,4,Aug-80,1980,Marvel
Sylvester Marston (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,4,Aug-80,1980,Marvel
Tran Coy Manh (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,4,Dec-80,1980,Marvel
Ukko (Earth-616),,,,,Male Characters,,Living Characters,4,Oct-80,1980,Marvel
Wartstaff (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,4,Jan-80,1980,Marvel
Annie Richardson (Earth-616),No Dual Identity,Neutral Characters,,Brown Hair,Female Characters,,Deceased Characters,4,Jul-81,1981,Marvel
Anton Mogart (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-81,1981,Marvel
Arlok (Earth-616),No Dual Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,4,Jul-81,1981,Marvel
Astra (Spaceknight) (Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,4,Dec-81,1981,Marvel
Battleaxe (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Deceased Characters,4,Nov-81,1981,Marvel
Emma Burstein (Earth-616),Public Identity,Good Characters,,White Hair,Female Characters,,Living Characters,4,Feb-81,1981,Marvel
Grotto (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,4,Jan-81,1981,Marvel
Hammerhand (Spaceknights) (Earth-616),,Good Characters,,,Male Characters,,Living Characters,4,Dec-81,1981,Marvel
Heinrich Krowler (Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Living Characters,4,Dec-81,1981,Marvel
Kilgore Slaughter (Earth-616),,,,Blond Hair,Male Characters,,Living Characters,4,Oct-81,1981,Marvel
Leanne (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,4,Apr-81,1981,Marvel
McMurdo (Earth-616),,,,White Hair,Male Characters,,Living Characters,4,Oct-81,1981,Marvel
Megan Daemon (Earth-616),,,Green Eyes,Blond Hair,Female Characters,,Living Characters,4,Mar-81,1981,Marvel
Piotr Phobos (Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,4,Apr-81,1981,Marvel
Ralf (Earth-616),,,,,Male Characters,,Living Characters,4,Oct-81,1981,Marvel
Randolph Cherryh (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,4,Dec-81,1981,Marvel
Sentinels Mk IV (Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,No Hair,,,Living Characters,4,Nov-81,1981,Marvel
Shade (Gangster) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Nov-81,1981,Marvel
Zira (Earth-616),No Dual Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,4,Apr-81,1981,Marvel
Claw (Chaste) (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Deceased Characters,4,Nov-82,1982,Marvel
Flame (Chaste) (Earth-616),,Good Characters,,,,,Deceased Characters,4,Nov-82,1982,Marvel
Georgianna Castleberry (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,4,Jul-82,1982,Marvel
Lord Samedar (Earth-616),Public Identity,Good Characters,White Eyes,,Male Characters,,Living Characters,4,Feb-82,1982,Marvel
Napier Sutton (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Oct-82,1982,Marvel
Nimrod Strange (Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Mar-82,1982,Marvel
Noburu-Hideki (Earth-616),,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,4,Sep-82,1982,Marvel
Petunia Grimm (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,4,Jan-82,1982,Marvel
Ramsey Kole (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Dec-82,1982,Marvel
Samuel Bernstein (Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,4,Nov-82,1982,Marvel
Shango (Earth-616),,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Oct-82,1982,Marvel
Simon Marshall (Earth-616),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,,Deceased Characters,4,Mar-82,1982,Marvel
Wraith High Witch (Earth-616),Secret Identity,Bad Characters,,Grey Hair,Female Characters,,Living Characters,4,Aug-82,1982,Marvel
Axe (Mutant) (Earth-616),,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,4,Sep-83,1983,Marvel
Daniel Grimm Jr. (Earth-616),,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,4,Jul-83,1983,Marvel
Gladys Smallwood (Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,4,Sep-83,1983,Marvel
Kono Sanada (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Nov-83,1983,Marvel
Raleigh Halward (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,4,Feb-83,1983,Marvel
Alma Chalmers (Earth-616),,Bad Characters,,Grey Hair,Female Characters,,Living Characters,4,Jul-84,1984,Marvel
Freddie Stanachek (Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,4,Oct-84,1984,Marvel
Gretl Anders (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,4,Jan-84,1984,Marvel
Hugo Longride (Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,4,Dec-84,1984,Marvel
Idiot (Earth-616),,Bad Characters,White Eyes,,Male Characters,,Living Characters,4,Dec-84,1984,Marvel
Isabel St. Ives (Earth-616),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Deceased Characters,4,Mar-84,1984,Marvel
Jacqueline Trufaut (Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,4,Sep-84,1984,Marvel
Janet McEntee (Earth-616),,,,,Female Characters,,Living Characters,4,Jun-84,1984,Marvel
Kate (Heartbreak Hotel) (Earth-616),,,,,Female Characters,,Living Characters,4,Dec-84,1984,Marvel
Malachon (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,4,May-84,1984,Marvel
Marge Smith (Earth-616),,Bad Characters,,,Female Characters,,Living Characters,4,Dec-84,1984,Marvel
Max Hammer (Earth-616),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,4,Apr-84,1984,Marvel
Melissa Bowen (Earth-616),Public Identity,Neutral Characters,,Red Hair,Female Characters,,Living Characters,4,Jan-84,1984,Marvel
Peg Lonestar (Earth-616),,,,,Female Characters,,Living Characters,4,Aug-84,1984,Marvel
Raymonde Belmonde (Earth-616),,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Deceased Characters,4,Feb-84,1984,Marvel
Shakkoth (Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,4,Sep-84,1984,Marvel
Shumai (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Nov-84,1984,Marvel
Smythe (Contraxia) (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-84,1984,Marvel
White Light (Earth-616),,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,4,Dec-84,1984,Marvel
Zachary Drebb (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,4,Jul-84,1984,Marvel
Bernard Finn (Earth-616),No Dual Identity,Good Characters,Black Eyes,Grey Hair,Male Characters,,Deceased Characters,4,Oct-85,1985,Marvel
Bull of Crete (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,4,Jun-85,1985,Marvel
Carl Weatherby (Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,4,Oct-85,1985,Marvel
Charles Anderson (Earth-616),Public Identity,,,,Male Characters,,Living Characters,4,Sep-85,1985,Marvel
Cherub Whirlwind (Earth-616),Secret Identity,Neutral Characters,Black Eyes,No Hair,,,Deceased Characters,4,Jul-85,1985,Marvel
Derwyddon (Earth-616),,,,,Male Characters,,Living Characters,4,Jul-85,1985,Marvel
Dyvyne (Earth-616),Public Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,4,May-85,1985,Marvel
Honcho (Vulturions) (Earth-616),Public Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,4,Apr-85,1985,Marvel
Jubilee (Darla) (Earth-616),,Good Characters,,,Female Characters,,Living Characters,4,Dec-85,1985,Marvel
Karygmax (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Oct-85,1985,Marvel
Snitch (Butch) (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,4,Dec-85,1985,Marvel
Stewart Cadwall (Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,4,Jul-85,1985,Marvel
Tanaraq (Earth-616),Public Identity,,,White Hair,Male Characters,,Living Characters,4,Jun-85,1985,Marvel
Bhadsha (Earth-616),Secret Identity,Neutral Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,4,Apr-86,1986,Marvel
Carolyn Parmentor (Earth-616),Public Identity,,,Brown Hair,Female Characters,,Deceased Characters,4,Mar-86,1986,Marvel
Chastity McBryde (Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,4,Dec-86,1986,Marvel
Dianne Bellamy (Earth-616),,Neutral Characters,,,Female Characters,,Living Characters,4,Mar-86,1986,Marvel
Dominor (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,4,Jan-86,1986,Marvel
Enitharmon (Earth-616),,Good Characters,,No Hair,Male Characters,,Living Characters,4,Aug-86,1986,Marvel
Greensong (Earth-616),,Good Characters,,No Hair,,,Living Characters,4,Feb-86,1986,Marvel
Hadj (Earth-616),Secret Identity,Neutral Characters,Yellow Eyes,No Hair,Female Characters,,Living Characters,4,Apr-86,1986,Marvel
Hagen (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-86,1986,Marvel
Lois (Earth-616),Public Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,4,Apr-86,1986,Marvel
Marandi Sjorokker (Earth-616),,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,4,Aug-86,1986,Marvel
Red Zeppelin (Earth-616),,,,Black Hair,Male Characters,,Living Characters,4,Apr-86,1986,Marvel
Richard Rennsalaer (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,4,Sep-86,1986,Marvel
Tommy (Morlock) (Earth-616),Secret Identity,Good Characters,,Blue Hair,Female Characters,,Deceased Characters,4,Oct-86,1986,Marvel
Uglitha (Earth-616),,Bad Characters,,,Female Characters,,Living Characters,4,May-86,1986,Marvel
Wesley (Earth-616),Public Identity,,,,Male Characters,,Living Characters,4,Feb-86,1986,Marvel
Yiorgos Krallis (Earth-616),Secret Identity,,Brown Eyes,,Male Characters,,Living Characters,4,Nov-86,1986,Marvel
Anthony Zerbe (Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Living Characters,4,Dec-87,1987,Marvel
Arthur Van Krijg (Earth-616),Secret Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,4,Jul-87,1987,Marvel
Bahkt (Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Deceased Characters,4,Jun-87,1987,Marvel
Blasting Cap (Earth-616),Secret Identity,,,Red Hair,Male Characters,,Living Characters,4,Aug-87,1987,Marvel
Bludgeon (UCWF) (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,4,Apr-87,1987,Marvel
Butte (Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,4,Feb-87,1987,Marvel
Cactus (Earth-616),,Bad Characters,,,,,Living Characters,4,Feb-87,1987,Marvel
Charlemagne (Earth-616),No Dual Identity,,Green Eyes,Auburn Hair,Female Characters,,Deceased Characters,4,Feb-87,1987,Marvel
Crazy Legs (Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,4,Aug-87,1987,Marvel
Esme Fernando (Earth-616),Secret Identity,Neutral Characters,,Black Hair,Female Characters,,Living Characters,4,Jul-87,1987,Marvel
Grendell (Dark Elf) (Earth-616),Secret Identity,Bad Characters,White Eyes,,Male Characters,,Living Characters,4,Mar-87,1987,Marvel
Mark Diering (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,4,Dec-87,1987,Marvel
Razor Cut (Earth-616),Secret Identity,,Yellow Eyeballs,Black Hair,Male Characters,,Living Characters,4,Aug-87,1987,Marvel
Ripan (Earth-616),Public Identity,,,,Male Characters,,Living Characters,4,Oct-87,1987,Marvel
Willem Vincent (Earth-616),Secret Identity,Neutral Characters,,Red Hair,Male Characters,,Deceased Characters,4,Jul-87,1987,Marvel
Ammo (Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Mar-88,1988,Marvel
Burnatt (Earth-616),,,,,Male Characters,,Living Characters,4,Sep-88,1988,Marvel
Caleb Walker (Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,4,Sep-88,1988,Marvel
Dillon Zarro (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,4,Dec-88,1988,Marvel
Emily Walker (Earth-616),Public Identity,Good Characters,,,Female Characters,,Living Characters,4,Sep-88,1988,Marvel
Ginny Edwards (Earth-616),Public Identity,,,Black Hair,Female Characters,,Living Characters,4,Sep-88,1988,Marvel
Gloria Garsen (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,4,Dec-88,1988,Marvel
Hannah Conover (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,4,Sep-88,1988,Marvel
Josey Thomas (Earth-616),,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,4,Aug-88,1988,Marvel
Peter (Nereel) (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,4,Oct-88,1988,Marvel
Rick Shea (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,4,Sep-88,1988,Marvel
Tension (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,4,Aug-88,1988,Marvel
Valdor (Earth-616),Public Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,4,Jul-88,1988,Marvel
Veronica Langkowski (Earth-616),Public Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,4,Jun-88,1988,Marvel
Wild Rose (Earth-616),Secret Identity,,,Black Hair,Female Characters,,Living Characters,4,Mar-88,1988,Marvel
Agrom (Earth-616),No Dual Identity,Good Characters,White Eyes,Black Hair,Male Characters,,Living Characters,4,Oct-89,1989,Marvel
Chang (Landau Luckman and Lake) (Earth-616),,Neutral Characters,,White Hair,Male Characters,,Deceased Characters,4,Mar-89,1989,Marvel
Dafydd ap Iowerth (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,4,Mar-89,1989,Marvel
Eugene van der Merwe (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,4,Jun-89,1989,Marvel
Iris Green (Earth-616),,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,4,Jul-89,1989,Marvel
Mikhail Gorbachev (Earth-616),Public Identity,Neutral Characters,,White Hair,Male Characters,,Living Characters,4,May-89,1989,Marvel
Nikoh (Earth-616),Public Identity,,Black Eyes,No Hair,Male Characters,,Living Characters,4,Oct-89,1989,Marvel
Ophelia Jones (Earth-616),Public Identity,,,,Female Characters,,Living Characters,4,Jun-89,1989,Marvel
Phay (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,4,Jun-89,1989,Marvel
Phough (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,4,Jun-89,1989,Marvel
Phumm (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,4,Jun-89,1989,Marvel
Raymond Trask (Earth-616),,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,4,Nov-89,1989,Marvel
That Which Endures (Earth-616),Secret Identity,Neutral Characters,,No Hair,,,Living Characters,4,Aug-89,1989,Marvel
Vlon (Earth-616),Public Identity,Good Characters,White Eyes,Black Hair,Male Characters,,Living Characters,4,Sep-89,1989,Marvel
Wilghe (Earth-616),Public Identity,Good Characters,Black Eyes,Grey Hair,Female Characters,,Living Characters,4,Sep-89,1989,Marvel
Black Light (Earth-616),Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,,Deceased Characters,4,Jun-90,1990,Marvel
Blue Celestial (Earth-616),,,,,,,Living Characters,4,Oct-90,1990,Marvel
Clayton Burr (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,4,Nov-90,1990,Marvel
Crimson (Earth-616),Secret Identity,,Red Eyes,Blond Hair,Female Characters,,Living Characters,4,May-90,1990,Marvel
Dai Kumo (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,4,Sep-90,1990,Marvel
Danika Trevani (Earth-616),Public Identity,Neutral Characters,,Blond Hair,Female Characters,,Deceased Characters,4,Dec-90,1990,Marvel
Ditmal Pirvat (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Nov-90,1990,Marvel
Emmaline Watanabe (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,4,Dec-90,1990,Marvel
Fred Bouting (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,4,Apr-90,1990,Marvel
Gordon Campbell (Earth-616),,,,,Male Characters,,Living Characters,4,Feb-90,1990,Marvel
Hump (Earth-616),Secret Identity,Bad Characters,White Eyes,Green Hair,Male Characters,,Living Characters,4,Jul-90,1990,Marvel
Ian Wajler (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,4,Aug-90,1990,Marvel
Kingsize (Earth-616),Secret Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,4,Sep-90,1990,Marvel
Madame Reneau (Earth-616),Public Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,4,Nov-90,1990,Marvel
Marty Smith (Earth-616),,,,,Male Characters,,Living Characters,4,Nov-90,1990,Marvel
Merrick (Earth-616),,,,,,,Living Characters,4,Jul-90,1990,Marvel
